[    5104ms] NetworkError: Failed to execute 'importScripts' on 'WorkerGlobalScope': The script at 'https://sre//speech-worker.js' failed to load.
    at blob:https://learn.deepolylink.com/58f08fa1-98fa-4836-bcd8-510d3ba6653f:3:7
[10900132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10905132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10910137ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10915140ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10920132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10925132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10930131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10935131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10940132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10945131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10950131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10955132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10960137ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10965134ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10970141ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10975140ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10980131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10985131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10990131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[10995131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11000131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11005131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11010131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11015134ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11020132ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
[11025131ms] [LOG] send heartbeat @ https://learn.deepolylink.com/assets/index-C3DW5Yex.js:112
